Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;odd_H;odd_D;odd_A;odd_over25
SP1;31/08/2002;Santander;Valladolid;0;1;A;0;0;D;1.909;3.25;3.4;1.75
SP1;01/09/2002;Barcelona;Ath Madrid;2;2;D;1;1;D;1.5;3.4;6;1.7
SP1;01/09/2002;La Coruna;Betis;2;4;A;1;3;A;1.5;3.4;6;1.9
SP1;01/09/2002;Mallorca;Valencia;0;2;A;0;1;A;2.875;3;2.25;2.05
SP1;01/09/2002;Recreativo;Malaga;2;3;A;2;1;H;2.5;3.1;2.5;1.9
SP1;01/09/2002;Sevilla;Celta;0;1;A;0;1;A;2.375;3.1;2.625;1.85
SP1;01/09/2002;Sociedad;Ath Bilbao;4;2;H;2;1;H;2.2;3;3;1.75
SP1;01/09/2002;Vallecano;Alaves;2;2;D;1;1;D;2.2;3;3;2.05
SP1;01/09/2002;Villarreal;Osasuna;2;2;D;2;0;H;1.727;3.2;4.333;
SP1;02/09/2002;Real Madrid;Espanol;2;0;H;1;0;H;1.25;4.5;10;1.6
SP1;14/09/2002;Ath Bilbao;Barcelona;0;2;A;0;2;A;3;3;2.2;1.65
SP1;14/09/2002;Malaga;Vallecano;2;1;H;0;1;A;1.727;3.2;4.333;1.8
SP1;14/09/2002;Osasuna;La Coruna;1;2;A;1;0;H;2.875;3;2.25;1.8
SP1;14/09/2002;Valencia;Recreativo;3;0;H;1;0;H;1.25;4.5;10;1.65
SP1;15/09/2002;Alaves;Santander;0;1;A;0;1;A;1.667;3.25;4.5;1.9
SP1;15/09/2002;Ath Madrid;Sevilla;1;1;D;0;1;A;1.615;3.25;5;1.7
SP1;15/09/2002;Celta;Mallorca;3;1;H;2;0;H;1.571;3.5;5;1.8
SP1;15/09/2002;Espanol;Sociedad;1;3;A;0;1;A;1.909;3.2;3.5;1.7
SP1;15/09/2002;Valladolid;Villarreal;1;0;H;1;0;H;1.909;3.2;3.5;1.85
SP1;21/09/2002;Barcelona;Espanol;2;0;H;0;0;D;1.364;3.75;8;1.65
SP1;21/09/2002;La Coruna;Valladolid;2;0;H;2;0;H;1.364;3.75;8;1.7
SP1;21/09/2002;Real Madrid;Osasuna;4;1;H;1;0;H;1.2;5;11;1.55
SP1;22/09/2002;Malaga;Valencia;2;2;D;2;0;H;2.7;3;2.4;1.9
SP1;22/09/2002;Mallorca;Ath Madrid;0;4;A;0;2;A;2.375;3.1;2.625;1.75
SP1;22/09/2002;Recreativo;Celta;0;3;A;0;1;A;3;3;2.2;1.95
SP1;22/09/2002;Sevilla;Ath Bilbao;1;1;D;0;0;D;1.909;3.25;3.4;1.8
SP1;22/09/2002;Sociedad;Betis;3;3;D;1;2;A;2.25;3.2;2.75;1.85
SP1;22/09/2002;Vallecano;Santander;3;1;H;1;1;D;1.909;3.25;3.4;1.85
SP1;22/09/2002;Villarreal;Alaves;0;1;A;0;1;A;2.1;3;3.2;1.8
SP1;28/09/2002;Alaves;La Coruna;1;2;A;0;0;D;2.625;3.1;2.375;1.75
SP1;28/09/2002;Betis;Barcelona;3;0;H;1;0;H;2.75;3.25;2.2;1.8
SP1;28/09/2002;Valladolid;Real Madrid;1;1;D;0;1;A;4.5;3.3;1.667;1.67
SP1;29/09/2002;Ath Bilbao;Mallorca;0;2;A;0;1;A;1.727;3.2;4.333;1.8
SP1;29/09/2002;Ath Madrid;Recreativo;1;1;D;1;1;D;1.364;3.75;8;1.65
SP1;29/09/2002;Celta;Malaga;2;2;D;2;2;D;1.615;3.25;5;1.65
SP1;29/09/2002;Espanol;Sevilla;0;0;D;0;0;D;2.1;3;3.2;1.9
SP1;29/09/2002;Osasuna;Sociedad;2;3;A;1;1;D;2.3;3.2;2.625;1.8
SP1;29/09/2002;Santander;Villarreal;1;1;D;0;0;D;1.833;3.2;3.75;1.9
SP1;29/09/2002;Valencia;Vallecano;3;0;H;2;0;H;1.286;4.5;8;1.7
SP1;05/10/2002;Recreativo;Ath Bilbao;1;2;A;0;0;D;2.5;3;2.625;1.8
SP1;06/10/2002;Barcelona;Osasuna;2;2;D;2;2;D;1.286;4.5;8;1.45
SP1;06/10/2002;La Coruna;Santander;0;2;A;0;1;A;1.333;4;8;1.65
SP1;06/10/2002;Malaga;Ath Madrid;3;1;H;1;0;H;2.1;3.2;3;1.7
SP1;06/10/2002;Mallorca;Espanol;2;0;H;0;0;D;1.909;3.2;3.5;1.8
SP1;06/10/2002;Real Madrid;Alaves;5;2;H;2;1;H;1.25;4.5;10;1.45
SP1;06/10/2002;Sevilla;Betis;1;1;D;0;1;A;2.75;3.2;2.25;1.8
