Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BbAv>2.5
SP1;29/08/2009;Real Madrid;La Coruna;3;2;H;2;1;H;1.25;5.5;13;1.48
SP1;29/08/2009;Zaragoza;Tenerife;1;0;H;0;0;D;1.91;3.4;4.2;1.97
SP1;30/08/2009;Almeria;Valladolid;0;0;D;0;0;D;2.1;3.3;3.5;2.02
SP1;30/08/2009;Ath Bilbao;Espanol;1;0;H;0;0;D;2.1;3.3;3.5;2.02
SP1;30/08/2009;Malaga;Ath Madrid;3;0;H;1;0;H;3.4;3.4;2.1;1.8
SP1;30/08/2009;Mallorca;Xerez;2;0;H;0;0;D;1.91;3.4;4.33;1.88
SP1;30/08/2009;Osasuna;Villarreal;1;1;D;1;1;D;2.88;3.2;2.5;2.02
SP1;30/08/2009;Santander;Getafe;1;4;A;1;3;A;2.15;3.3;3.4;2.08
SP1;30/08/2009;Valencia;Sevilla;2;0;H;0;0;D;2.25;3.3;3.2;1.86
SP1;31/08/2009;Barcelona;Sp Gijon;3;0;H;2;0;H;1.17;8;13;1.37
SP1;12/09/2009;Ath Madrid;Santander;1;1;D;1;1;D;1.44;4.33;7;1.63
SP1;12/09/2009;Espanol;Real Madrid;0;3;A;0;1;A;6;3.8;1.57;1.56
SP1;12/09/2009;Getafe;Barcelona;0;2;A;0;0;D;6.5;4.2;1.5;1.53
SP1;12/09/2009;Sevilla;Zaragoza;4;1;H;2;1;H;1.57;3.8;6;1.71
SP1;13/09/2009;La Coruna;Malaga;1;0;H;0;0;D;1.83;3.5;4.33;1.86
SP1;13/09/2009;Sp Gijon;Almeria;1;0;H;1;0;H;2.38;3.25;3;1.96
SP1;13/09/2009;Tenerife;Osasuna;2;1;H;0;0;D;2.38;3.25;3;2.09
SP1;13/09/2009;Valladolid;Valencia;2;4;A;1;3;A;3.4;3.4;2.1;1.88
SP1;13/09/2009;Villarreal;Mallorca;1;1;D;0;0;D;1.57;3.8;6;1.76
SP1;13/09/2009;Xerez;Ath Bilbao;0;1;A;0;1;A;2.75;3.2;2.63;2.07
SP1;19/09/2009;Barcelona;Ath Madrid;5;2;H;4;1;H;1.33;5;8.5;1.42
SP1;19/09/2009;La Coruna;Espanol;2;3;A;1;2;A;1.95;3.4;3.8;2.08
SP1;19/09/2009;Malaga;Santander;1;2;A;0;1;A;2.05;3.3;3.6;1.93
SP1;19/09/2009;Mallorca;Tenerife;4;0;H;1;0;H;2;3.4;3.6;1.94
SP1;19/09/2009;Osasuna;Sevilla;0;2;A;0;1;A;3.25;3.25;2.25;2.03
SP1;20/09/2009;Almeria;Getafe;1;0;H;0;0;D;2.5;3.25;2.8;2.03
SP1;20/09/2009;Ath Bilbao;Villarreal;3;2;H;2;0;H;2.63;3.25;2.63;2.02
SP1;20/09/2009;Real Madrid;Xerez;5;0;H;1;0;H;1.13;8;21;1.34
SP1;20/09/2009;Valencia;Sp Gijon;2;2;D;1;1;D;1.29;5.25;10;1.51
SP1;20/09/2009;Zaragoza;Valladolid;1;2;A;1;1;D;2.1;3.3;3.5;1.87
SP1;22/09/2009;Santander;Barcelona;1;4;A;0;3;A;10;5;1.3;1.53
SP1;22/09/2009;Sevilla;Mallorca;2;0;H;2;0;H;1.44;4.2;7.5;1.71
SP1;23/09/2009;Ath Madrid;Almeria;2;2;D;1;1;D;1.44;4.33;7;1.64
SP1;23/09/2009;Espanol;Malaga;2;1;H;0;1;A;2;3.4;3.75;1.91
SP1;23/09/2009;Getafe;Valencia;3;1;H;2;1;H;3;3.3;2.35;1.79
SP1;23/09/2009;Tenerife;Ath Bilbao;1;0;H;0;0;D;2.6;3.25;2.7;1.96
SP1;23/09/2009;Valladolid;Osasuna;1;2;A;0;1;A;2.15;3.3;3.4;2.18
SP1;23/09/2009;Villarreal;Real Madrid;0;2;A;0;1;A;5.5;3.8;1.6;1.52
SP1;23/09/2009;Xerez;La Coruna;0;3;A;0;1;A;2.88;3.25;2.45;2.03
SP1;24/09/2009;Sp Gijon;Zaragoza;1;1;D;1;0;H;2.25;3.4;3.1;1.78
SP1;26/09/2009;Ath Bilbao;Sevilla;0;4;A;0;3;A;2.9;3.3;2.4;1.9
SP1;26/09/2009;Malaga;Barcelona;0;2;A;0;1;A;11;5;1.29;1.42
SP1;26/09/2009;Real Madrid;Tenerife;3;0;H;0;0;D;1.11;8.5;21;1.79
SP1;26/09/2009;Valencia;Ath Madrid;2;2;D;2;1;H;1.91;3.4;4;1.59
SP1;27/09/2009;Almeria;Santander;2;2;D;1;0;H;2.25;3.25;3.2;2.04
SP1;27/09/2009;Espanol;Xerez;0;0;D;0;0;D;1.53;4;6;1.85
SP1;27/09/2009;La Coruna;Villarreal;1;0;H;1;0;H;2.4;3.3;2.9;1.92
